10/5/2025 9:48:25 PM: / | User: Anonymous
10/5/2025 9:48:25 PM: /Account/Login | User: Anonymous
10/5/2025 9:48:35 PM: /departments | User: Anonymous
10/5/2025 9:48:35 PM: /Account/Login | User: Anonymous
10/5/2025 9:48:38 PM: /Account/Login | User: Anonymous
10/5/2025 9:57:47 PM: /Account/Login | User: Anonymous
10/5/2025 11:00:57 PM: / | User: Anonymous
10/5/2025 11:01:02 PM: /departments | User: Anonymous
10/5/2025 11:01:08 PM: /Departments/Create | User: Anonymous
10/5/2025 11:01:14 PM: /Departments/Create | User: Anonymous
10/5/2025 11:01:14 PM: /Departments | User: Anonymous
10/5/2025 11:01:19 PM: /Departments/Edit/1 | User: Anonymous
10/5/2025 11:01:26 PM: /Departments/Edit/1 | User: Anonymous
10/5/2025 11:01:26 PM: /Departments | User: Anonymous
10/5/2025 11:01:28 PM: /Departments/Details/1 | User: Anonymous
10/5/2025 11:01:32 PM: /Departments | User: Anonymous
10/5/2025 11:01:40 PM: /students | User: Anonymous
10/5/2025 11:01:42 PM: /Students/Create | User: Anonymous
10/6/2025 3:13:06 PM: / | User: Anonymous
10/6/2025 3:13:06 PM: /Account/Login | User: Anonymous
10/6/2025 3:21:37 PM: / | User: Anonymous
10/6/2025 3:21:37 PM: /Account/Login | User: Anonymous
10/6/2025 3:21:53 PM: /Account/Register | User: Anonymous
10/6/2025 3:22:01 PM: /Account/Register | User: Anonymous
10/6/2025 3:22:05 PM: /Account/Login | User: Anonymous
10/6/2025 3:22:11 PM: /Account/Login | User: Anonymous
10/6/2025 3:22:16 PM: /Account/Register | User: Anonymous
10/6/2025 3:23:09 PM: /Account/Register | User: Anonymous
10/6/2025 3:23:10 PM: / | User: Anonymous
10/6/2025 3:23:21 PM: / | User: Anonymous
10/6/2025 3:23:43 PM: /Account/Logout | User: Anonymous
10/6/2025 3:23:43 PM: / | User: Anonymous
10/6/2025 3:23:43 PM: /Account/Login | User: Anonymous
10/6/2025 3:23:56 PM: /students | User: Anonymous
10/6/2025 3:23:56 PM: /Account/Login | User: Anonymous
10/6/2025 3:24:00 PM: /departments | User: Anonymous
10/6/2025 3:24:01 PM: /Account/Login | User: Anonymous
10/6/2025 3:24:11 PM: /courses | User: Anonymous
10/6/2025 3:24:11 PM: /Account/Login | User: Anonymous
10/6/2025 3:24:17 PM: /Account/Login | User: Anonymous
10/6/2025 3:24:17 PM: / | User: Anonymous
10/6/2025 3:31:01 PM: / | User: Anonymous
10/6/2025 3:31:09 PM: / | User: Anonymous
10/6/2025 3:31:23 PM: / | User: Anonymous
10/6/2025 3:31:28 PM: /Account/Login | User: Anonymous
10/6/2025 3:31:33 PM: /Account/Register | User: Anonymous
10/6/2025 3:31:45 PM: /Account/Register | User: Anonymous
10/6/2025 3:31:45 PM: / | User: Anonymous
10/6/2025 3:31:53 PM: /Departments | User: Anonymous
10/6/2025 3:31:55 PM: /Courses | User: Anonymous
10/6/2025 3:31:55 PM: /Account/AccessDenied | User: Anonymous
10/6/2025 3:31:56 PM: /Instructors | User: Anonymous
10/6/2025 3:32:00 PM: /Courses | User: Anonymous
10/6/2025 3:32:00 PM: /Account/AccessDenied | User: Anonymous
10/6/2025 3:41:11 PM: /Account/AccessDenied | User: Anonymous
10/6/2025 3:41:16 PM: / | User: Anonymous
10/6/2025 3:41:19 PM: /Departments | User: Anonymous
